# MJD - 55920            Delay (s)    Scope/Freq  Err(us)
  26.907842945372977    55.61979575      GBT820   3.760
  26.908058486238588    55.61993389      GBT820   3.690
  26.908273995344643    55.62006111      GBT820   3.690
  26.908489536072011    55.62018726      GBT820   4.000
  26.908705045207171    55.62031632      GBT820   3.870
  26.908920554342330    55.62044570      GBT820   2.950
  26.909136095055146    55.62057090      GBT820   4.690
  26.909351604146650    55.62069665      GBT820   3.950
  26.909567113274534    55.62082498      GBT820   3.220
  26.909782653958246    55.62094796      GBT820   3.660
  26.909998162991542    55.62106812      GBT820   3.540
  26.910213703689806    55.62119226      GBT820   3.470
  26.910429212795862    55.62131900      GBT820   3.100
  26.910644721909193    55.62144629      GBT820   3.530
  26.910860262512870    55.62156179      GBT820   3.520
  26.911075771502510    55.62167857      GBT820   3.180
  26.911291312113462    55.62179526      GBT820   3.600
  26.911506821139483    55.62191492      GBT820   3.490
  26.911722330136399    55.62203221      GBT820   3.500
  26.911937870703696    55.62214486      GBT820   3.010
  26.912153379780648    55.62226915      GBT820   4.120
  26.912368920304289    55.62237796      GBT820   3.180
  26.912584429126582    55.62247988      GBT820   3.720
  26.912799938181706    55.62260245      GBT820   2.910
  26.913015478785383    55.62271851      GBT820   3.270
  26.969164337002439    55.62356895      GBT820   2.890
  26.969379843394563    55.62346122      GBT820   3.220
  26.969595381517138    55.62336217      GBT820   3.300
  26.969810887836502    55.62324871      GBT820   3.170
  26.970026425922697    55.62314657      GBT820   4.120
  26.970241932307545    55.62303826      GBT820   2.930
  26.970457470371912    55.62293476      GBT820   3.140
  26.970672976720380    55.62282279      GBT820   4.250
  26.970888483141607    55.62271777      GBT820   3.240
  26.971104021024075    55.62259841      GBT820   2.670
  26.971319527445303    55.62249326      GBT820   3.120
  26.971535065487842    55.62238780      GBT820   3.240
  26.971750571719895    55.62226614      GBT820   3.590
  26.971966109740606    55.62215853      GBT820   3.970
  26.972181616023590    55.62204176      GBT820   3.290
  26.972397153993370    55.62192979      GBT820   3.520
  26.972612660414597    55.62182457      GBT820   3.280
  26.972828198289790    55.62170425      GBT820   3.470
  26.973043704500014    55.62158107      GBT820   3.120
  26.973259242455242    55.62146802      GBT820   2.970
  26.973474748665467    55.62134466      GBT820   3.290
  26.973690286627971    55.62123168      GBT820   3.180
  26.973905792830919    55.62110810      GBT820   3.100
  26.974121330662456    55.62098388      GBT820   3.110
  26.974336836843577    55.62085818      GBT820   2.670
  26.974552374704217    55.62073662      GBT820   3.530
  26.974767880899890    55.62061234      GBT820   2.950
  26.974983387175598    55.62049437      GBT820   2.440
  26.975198925050790    55.62037409      GBT820   2.760
  26.975414431159152    55.62024206      GBT820   3.830
  26.975629969041620    55.62012237      GBT820   3.780
  26.975845475164533    55.61999171      GBT820   3.990
  27.181645059223229    55.18869071      GBT820   3.660
  27.181860590477299    55.18799824      GBT820   3.210
  27.182076089942711    55.18729246      GBT820   4.050
  27.182291620942124    55.18657809      GBT820   3.410
  27.182507152057951    55.18587423      GBT820   3.100
  27.182722651479708    55.18516440      GBT820   3.640
  27.182938182573707    55.18445843      GBT820   3.330
  27.183153713638603    55.18374972      GBT820   3.450
  27.183369213147671    55.18304750      GBT820   3.910
  27.183584744256223    55.18234276      GBT820   3.550
  27.183800275321119    55.18163440      GBT820   3.330
  27.184015774691943    55.18092008      GBT820   3.100
  27.184231305822323    55.18021688      GBT820   3.230
  27.184446836872667    55.17950727      GBT820   3.490
  27.184662336258043    55.17879380      GBT820   3.300
  27.184877867352043    55.17808835      GBT820   3.580
  27.185093398351455    55.17737371      GBT820   3.460
  27.185308897773211    55.17666389      GBT820   3.120
  27.185524428874487    55.17595856      GBT820   2.840
  27.185739959932107    55.17524950      GBT820   2.770
  27.185955459288380    55.17453381      GBT820   3.700
  27.186170990338724    55.17382410      GBT820   3.350
  27.186386521330860    55.17310957      GBT820   3.470
  27.186602020723512    55.17239680      GBT820   3.160
  27.186817551730201    55.17168363      GBT820   2.900
  27.187033082744165    55.17097063      GBT820   3.440
  27.187248582129541    55.17025758      GBT820   3.710
  27.187464113165333    55.16954636      GBT820   3.290
  27.187679644135642    55.16882983      GBT820   2.990
  27.187895175091398    55.16811178      GBT820   3.570
  27.188110674469499    55.16739811      GBT820   4.070
  27.188326205505291    55.16668704      GBT820   3.490
  27.778685621327895    54.11130886      GBT820   4.950
  27.778901135141496    54.11184285      GBT820   6.200
  27.779116648584022    54.11234411      GBT820   5.260
  27.779332162142964    54.11285590      GBT820   5.960
  27.779547707374149    54.11337103      GBT820   6.110
  27.779763221158646    54.11390228      GBT820   4.550
  27.779978734746692    54.11441638      GBT820   4.920
  27.780194248422049    54.11493796      GBT820   5.770
  27.780409793580475    54.11544726      GBT820   4.760
  27.780625307343144    54.11597586      GBT820   3.510
  27.780840820880258    54.11648578      GBT820   5.730
  27.781056334628374    54.11701349      GBT820   4.850
  27.781271879874112    54.11753065      GBT820   4.600
  27.781487393564021    54.11805352      GBT820   3.990
  27.781702907268482    54.11857719      GBT820   6.500
  27.781918421045702    54.11910789      GBT820   6.200
  27.782133934648300    54.11962297      GBT820   4.910
  27.782349479937693    54.12014343      GBT820   4.410
  27.782564993729466    54.12067500      GBT820   4.300
  27.782780507455755    54.12120127      GBT820   5.070
  27.782996021196595    54.12172850      GBT820   4.200
  27.783211566646060    54.12226310      GBT820   4.870
  27.783427080285037    54.12278121      GBT820   4.130
  27.783642594142293    54.12331899      GBT820   5.090
  27.783858107977721    54.12385431      GBT820   4.390
  27.784073653318046    54.12437898      GBT820   4.370
  27.784289167007955    54.12490208      GBT820   5.850
  27.784504681054386    54.12545529      GBT820   4.070
  27.784720194758847    54.12597945      GBT820   4.670
  27.784935740361107    54.12652698      GBT820   5.930
  27.785151254080120    54.12705239      GBT820   5.690
  27.785366767995583    54.12759508      GBT820   4.850
  29.147414616680180    55.67782280      GBT820   3.740
  29.147630119179667    55.67737892      GBT820   3.200
  29.147845653293189    55.67693400      GBT820   3.950
  29.148061187435815    55.67649100      GBT820   3.220
  29.148276689884369    55.67604271      GBT820   3.490
  29.148492223946960    55.67559325      GBT820   3.920
  29.148707726482826    55.67515224      GBT820   2.470
  29.148923260581796    55.67470617      GBT820   4.060
  29.149138763030351    55.67425760      GBT820   4.300
  29.149354297202080    55.67381757      GBT820   3.780
  29.149569831279223    55.67336973      GBT820   3.530
  29.149785333916952    55.67293750      GBT820   3.430
  29.150000868066854    55.67249520      GBT820   3.050
  29.150216370697308    55.67206246      GBT820   2.850
  29.150431904883590    55.67162367      GBT820   3.230
  29.150647407332144    55.67117572      GBT820   3.100
  29.150862941591186    55.67074314      GBT820   3.160
  29.151078475726536    55.67029995      GBT820   3.560
  29.151293978291505    55.66986157      GBT820   4.140
  29.151509512535995    55.66942788      GBT820   3.140
  29.151725015100965    55.66898919      GBT820   3.710
  29.151940549330902    55.66855405      GBT820   3.270
  29.152156051983184    55.66812323      GBT820   3.700
  29.152371586249501    55.66769152      GBT820   4.040
  29.152587120450335    55.66725371      GBT820   2.590
  29.152802623160824    55.66682816      GBT820   3.550
  29.153018157339829    55.66638878      GBT820   3.740
  29.153233660035767    55.66596184      GBT820   2.840
  29.153449194316636    55.66553116      GBT820   3.490
  29.153664696976193    55.66510114      GBT820   3.790
  29.153880231366202    55.66467965      GBT820   3.110
  29.154095733931172    55.66424165      GBT820   3.210
  29.214445433295623    55.57148706      GBT820   3.160
  29.214660938188899    55.57124985      GBT820   2.790
  29.214876474776247    55.57101843      GBT820   3.710
  29.215091979800491    55.57079275      GBT820   3.700
  29.215307516373286    55.57055981      GBT820   3.500
  29.215523021441186    55.57033797      GBT820   3.260
  29.215738558108569    55.57011376      GBT820   3.400
  29.215954063183744    55.56989187      GBT820   3.340
  29.216169599829300    55.56966589      GBT820   3.510
  29.216385104897199    55.56944375      GBT820   3.090
  29.216600641513651    55.56921487      GBT820   3.260
  29.216816146603378    55.56899460      GBT820   2.990
  29.217031683343521    55.56877633      GBT820   3.070
  29.217247188404144    55.56855368      GBT820   3.340
  29.217462725224323    55.56834265      GBT820   2.980
  29.217678230183083    55.56811091      GBT820   2.590
  29.217893766930501    55.56789356      GBT820   3.490
  29.218109272122092    55.56768202      GBT820   4.110
  29.218324808833131    55.56746128      GBT820   3.190
  29.218540314017446    55.56724926      GBT820   3.590
  29.218755850808520    55.56703530      GBT820   3.750
  29.218971355992835    55.56682367      GBT820   2.980
  29.219186892769358    55.56660872      GBT820   2.800
  29.219402397859085    55.56638811      GBT820   3.510
  29.219617903188919    55.56618889      GBT820   3.590
  29.219833439892682    55.56596790      GBT820   3.670
  29.220048945098824    55.56575737      GBT820   4.010
  29.220264481962658    55.56555006      GBT820   3.620
  29.220479987205181    55.56534305      GBT820   3.290
  29.220695524112671    55.56513911      GBT820   3.700
  29.220911029260606    55.56492401      GBT820   3.640
  29.221126566204475    55.56472337      GBT820   2.870
  29.256432260830479    55.54143153      GBT820   3.240
  29.256647767571849    55.54135433      GBT820   3.830
  29.256863305949082    55.54127744      GBT820   3.830
  29.257078812785039    55.54120801      GBT820   3.150
  29.257294319635548    55.54113997      GBT820   3.550
  29.257509858027333    55.54106472      GBT820   3.820
  29.257725364761427    55.54098616      GBT820   3.740
  29.257940903167764    55.54091227      GBT820   4.240
  29.258156410025549    55.54084455      GBT820   4.010
  29.258371948511922    55.54077740      GBT820   3.550
  29.258587455384259    55.54071107      GBT820   3.780
  29.258802962205664    55.54064103      GBT820   3.130
  29.259018500619277    55.54056732      GBT820   4.500
  29.259234007549821    55.54050610      GBT820   3.780
  29.259449546043470    55.54043939      GBT820   3.280
  29.259665052857599    55.54036816      GBT820   3.180
  29.259880591380352    55.54030373      GBT820   3.390
  29.260096098289068    55.54024125      GBT820   3.700
  29.260311636724509    55.54016919      GBT820   3.470
  29.260527143713261    55.54011317      GBT820   2.770
  29.260742650745669    55.54006078      GBT820   3.970
  29.260958189253870    55.53999556      GBT820   3.040
  29.261173696162587    55.53993213      GBT820   2.720
  29.261389234685339    55.53986823      GBT820   4.320
  29.261604741710471    55.53981514      GBT820   3.700
  29.261820280356915    55.53976167      GBT820   3.820
  29.262035787331115    55.53970425      GBT820   3.540
  29.262251294239832    55.53964136      GBT820   4.100
  29.262466832908103    55.53959007      GBT820   2.840
  29.262682339911407    55.53953500      GBT820   4.420
  29.262897878601507    55.53948527      GBT820   4.120
  29.263113385626639    55.53943196      GBT820   4.220
  29.930502056391560    58.17413512      GBT820   2.460
  29.930717574992741    58.17508209      GBT820   2.940
  29.930933093717613    58.17604017      GBT820   2.720
  29.931148612246034    58.17698085      GBT820   2.860
  29.931364130890870    58.17793172      GBT820   2.970
  29.931579649419291    58.17887259      GBT820   2.900
  29.931795167962264    58.17981503      GBT820   3.300
  29.932010686607100    58.18076589      GBT820   3.160
  29.932226205135521    58.18170656      GBT820   3.420
  29.932441723649390    58.18264659      GBT820   3.380
  29.932657242192363    58.18358850      GBT820   3.020
  29.932872760720784    58.18452961      GBT820   3.000
  29.933088279285585    58.18547356      GBT820   2.850
  29.933303797814006    58.18641436      GBT820   3.140
  29.933519347920083    58.18735154      GBT820   3.130
  29.933734866397572    58.18828770      GBT820   3.750
  29.933950384925993    58.18922839      GBT820   2.860
  29.934165903490793    58.19017288      GBT820   2.700
  29.934381421873695    58.19110137      GBT820   3.550
  29.934596940482152    58.19204888      GBT820   3.590
  29.934812458908709    58.19298077      GBT820   3.420
  29.935027977298887    58.19390988      GBT820   3.610
  29.935243495921895    58.19485895      GBT820   2.810
  29.935459014326625    58.19578906      GBT820   4.010
  29.935674532760459    58.19672222      GBT820   3.000
  29.935890051223396    58.19765730      GBT820   2.730
  29.936105569649953    58.19858974      GBT820   3.210
  29.936321088149271    58.19952783      GBT820   3.510
  29.936536638138932    58.20045434      GBT820   3.150
  29.936752156594594    58.20138896      GBT820   3.610
  29.936967674948392    58.20231490      GBT820   3.030
  29.937183193324017    58.20324266      GBT820   3.080
  30.024842642196745    58.52784766      GBT820   2.740
  30.025168856373057    58.52883138      GBT820   2.820
  30.025495038964436    58.52981972      GBT820   2.800
  30.025821221584920    58.53081005      GBT820   2.630
  30.026147435717576    58.53179019      GBT820   3.460
  30.026473618185264    58.53276723      GBT820   2.980
  30.026799800849403    58.53376143      GBT820   2.940
  30.027126014982059    58.53474200      GBT820   2.520
  30.027452197340608    58.53570931      GBT820   3.390
  30.027778379822848    58.53668814      GBT820   3.460
  30.028104593955504    58.53766807      GBT820   3.370
  30.028430776321329    58.53863688      GBT820   3.160
  30.028756958825397    58.53961673      GBT820   3.110
  30.029083172747050    58.54057887      GBT820   3.170
  30.029409355134703    58.54154931      GBT820   2.520
  30.029735537442320    58.54251291      GBT820   2.940
  30.030061751371250    58.54347537      GBT820   2.830
  30.030387933707971    58.54444118      GBT820   3.070
  30.030714115957380    58.54539936      GBT820   2.470
  30.031040329806274    58.54635545      GBT820   3.020
  30.031366512106615    58.54731832      GBT820   3.030
  30.031692694268713    58.54826901      GBT820   2.910
  30.032018908175814    58.54922953      GBT820   4.400
  30.032345090272429    58.55017463      GBT820   3.280
  30.032671304121322    58.55113093      GBT820   2.940
  30.032997486203385    58.55207457      GBT820   3.290
  30.033323668314551    58.55302091      GBT820   3.100
  30.033649882068858    58.55396856      GBT820   2.670
  30.033976064136368    58.55491085      GBT820   3.320
  30.034302246123843    58.55584672      GBT820   3.170
  30.034628459769010    58.55678476      GBT820   3.260
  30.034954641792865    58.55772385      GBT820   3.050
  30.234961556881899    58.78021054      GBT820   3.840
  30.235171243504738    58.78007112      GBT820   4.070
  30.235380930142128    58.77993320      GBT820   3.660
  30.235590616677655    58.77978573      GBT820   4.200
  30.235800334892701    58.77964384      GBT820   4.960
  30.236010021515540    58.77950446      GBT820   3.820
  30.236219708182034    58.77936883      GBT820   3.890
  30.236429426215182    58.77921069      GBT820   4.020
  30.236639112859848    58.77907322      GBT820   3.280
  30.236848799417203    58.77892800      GBT820   3.010
  30.237058485799935    58.77876746      GBT820   3.440
  30.237268204036809    58.77862703      GBT820   3.850
  30.237477890557784    58.77847913      GBT820   3.850
  30.237687577129691    58.77833528      GBT820   4.970
  30.237897295228322    58.77818257      GBT820   4.080
  30.238106981705641    58.77803089      GBT820   3.690
  30.238316668132029    58.77787419      GBT820   3.520
  30.238526354638452    58.77772506      GBT820   3.980
  30.238736072868051    58.77758391      GBT820   2.920
  30.238945759185299    58.77741797      GBT820   4.210
  30.239155445669894    58.77726644      GBT820   4.290
  30.239365163841285    58.77712034      GBT820   3.630
  30.239574850260396    58.77696381      GBT820   3.900
  30.239784536737716    58.77681140      GBT820   3.330
  30.239994223105896    58.77665010      GBT820   4.750
  30.240203941066284    58.77648584      GBT820   3.610
  30.240413627449016    58.77632540      GBT820   4.430
  30.240623314006370    58.77618071      GBT820   3.330
  30.240833031966758    58.77601648      GBT820   3.070
  30.241042718116660    58.77583624      GBT820   3.680
  30.241252404623083    58.77568655      GBT820   3.700
  30.241462091042195    58.77552925      GBT820   3.980
  30.266659972374327    58.75068176      GBT820   4.450
  30.266869657687494    58.75042968      GBT820   4.920
  30.267079343015212    58.75017836      GBT820   3.520
  30.267289059906034    58.74992148      GBT820   3.400
  30.267498745219200    58.74966854      GBT820   4.690
  30.267708430474158    58.74941099      GBT820   3.920
  30.267918147597811    58.74917425      GBT820   3.640
  30.268127832809114    58.74891285      GBT820   3.480
  30.268337518122280    58.74866055      GBT820   4.170
  30.268547234969446    58.74839977      GBT820   6.880
  30.268756920224405    58.74814244      GBT820   3.340
  30.268966605552123    58.74789126      GBT820   3.680
  30.269176322370186    58.74762827      GBT820   4.270
  30.269386007566936    58.74736525      GBT820   2.570
  30.269595692836447    58.74710907      GBT820   3.400
  30.269805409625405    58.74684342      GBT820   3.740
  30.270015094865812    58.74658453      GBT820   3.270
  30.270224780164426    58.74633083      GBT820   3.930
  30.270434465215658    58.74605587      GBT820   4.430
  30.270644182186516    58.74580584      GBT820   4.390
  30.270853867266851    58.74553300      GBT820   3.450
  30.271063552521809    58.74527574      GBT820   3.270
  30.271273269223457    58.74500261      GBT820   3.690
  30.271482954456587    58.74474302      GBT820   3.710
  30.271692639464163    58.74446359      GBT820   3.820
  30.271902356274950    58.74420039      GBT820   4.310
  30.272112041420769    58.74393329      GBT820   4.340
  30.272321726573864    58.74366689      GBT820   3.720
  30.272531443297339    58.74339563      GBT820   4.860
  30.272741128297639    58.74311587      GBT820   5.020
  30.272950813581701    58.74286101      GBT820   3.980
  30.273160530232417    58.74258355      GBT820   4.350
  46.017434983696148    69.35436601      GBT820   2.800
  46.017780594833312    69.35617064      GBT820   3.070
